iter	Passed	Remaining
0	87	873724
1	113	569377
2	143	477212
3	172	430299
4	198	397785
5	229	381491
6	254	363738
7	281	351954
8	310	344585
9	338	337687
10	365	331499
11	393	327612
12	419	322237
13	448	319928
14	474	316031
15	501	312997
16	530	311688
17	558	309725
18	587	308620
19	613	305975
20	642	305154
21	669	303812
22	699	303507
23	726	302013
24	755	301375
25	787	302132
26	816	301674
27	842	300212
28	872	299964
29	900	299238
30	928	298458
31	956	297808
32	981	296386
33	1008	295493
34	1035	294866
35	1061	293842
36	1089	293247
37	1117	292968
38	1145	292576
39	1174	292477
40	1200	291547
41	1226	290863
42	1249	289444
43	1276	288873
44	1304	288586
45	1330	287938
46	1356	287203
47	1382	286563
48	1408	286073
49	1437	286140
50	1466	286065
51	1493	285667
52	1521	285468
53	1546	284767
54	1572	284406
55	1596	283540
56	1624	283368
57	1649	282754
58	1673	282048
59	1699	281485
60	1722	280691
61	1750	280619
62	1773	279700
63	1799	279319
64	1825	278955
65	1848	278263
66	1872	277621
67	1899	277466
68	1923	276854
69	1951	276784
70	1981	277047
71	2012	277544
72	2036	276923
73	2058	276060
74	2082	275543
75	2107	275255
76	2134	275104
77	2160	274771
78	2185	274421
79	2207	273767
80	2234	273602
81	2260	273395
82	2283	272877
83	2309	272647
84	2334	272256
85	2355	271558
86	2378	271019
87	2407	271163
88	2432	270923
89	2458	270748
90	2484	270578
91	2510	270331
92	2532	269758
93	2558	269588
94	2583	269354
95	2607	269030
96	2630	268586
97	2656	268414
98	2680	268048
99	2705	267888
100	2733	267938
101	2760	267845
102	2785	267653
103	2813	267719
104	2846	268248
105	2870	267969
106	2898	267999
107	2923	267769
108	2950	267713
109	2978	267838
110	3003	267542
111	3026	267223
112	3052	267119
113	3077	266877
114	3100	266478
115	3126	266436
116	3156	266646
117	3178	266222
118	3202	265919
119	3229	265879
120	3252	265567
121	3276	265249
122	3301	265146
123	3328	265098
124	3356	265160
125	3384	265209
126	3409	265088
127	3434	264904
128	3464	265115
129	3494	265319
130	3522	265351
131	3548	265247
132	3573	265123
133	3602	265250
134	3625	264945
135	3652	264895
136	3677	264733
137	3705	264783
138	3729	264586
139	3754	264452
140	3785	264674
141	3807	264334
142	3832	264160
143	3858	264107
144	3883	263919
145	3906	263682
146	3934	263734
147	3959	263592
148	3985	263526
149	4011	263399
150	4038	263381
151	4067	263557
152	4092	263415
153	4122	263578
154	4148	263497
155	4176	263520
156	4200	263321
157	4231	263612
158	4262	263799
159	4292	263999
160	4322	264135
161	4348	264106
162	4371	263843
163	4395	263626
164	4419	263437
165	4444	263271
166	4474	263480
167	4502	263522
168	4530	263567
169	4555	263440
170	4583	263442
171	4610	263431
172	4635	263308
173	4658	263079
174	4687	263166
175	4714	263166
176	4744	263293
177	4770	263228
178	4793	263000
179	4817	262824
180	4842	262688
181	4875	262988
182	4899	262859
183	4923	262679
184	4952	262756
185	4980	262783
186	5007	262780
187	5035	262833
188	5062	262789
189	5090	262824
190	5115	262696
191	5139	262561
192	5168	262633
193	5195	262625
194	5217	262366
195	5245	262357
196	5272	262385
197	5302	262507
198	5329	262478
199	5360	262654
200	5389	262725
201	5414	262614
202	5440	262581
203	5470	262670
204	5497	262659
205	5524	262677
206	5550	262585
207	5575	262496
208	5603	262502
209	5630	262479
210	5654	262335
211	5677	262149
212	5708	262315
213	5734	262221
214	5759	262110
215	5790	262302
216	5818	262330
217	5845	262295
218	5868	262079
219	5896	262132
220	5925	262205
221	5951	262118
222	5975	261991
223	6003	262007
224	6031	262026
225	6060	262119
226	6086	262021
227	6113	262011
228	6140	261988
229	6167	261987
230	6191	261835
231	6220	261897
232	6248	261932
233	6279	262055
234	6306	262056
235	6329	261866
236	6358	261947
237	6384	261879
238	6409	261772
239	6432	261573
240	6458	261532
241	6485	261498
242	6513	261538
243	6542	261582
244	6565	261419
245	6595	261504
246	6623	261550
247	6647	261411
248	6676	261463
249	6705	261507
250	6730	261418
251	6759	261477
252	6784	261384
253	6809	261295
254	6836	261255
255	6864	261282
256	6885	261036
257	6915	261136
258	6939	261002
259	6962	260828
260	6992	260914
261	7027	261196
262	7052	261100
263	7080	261120
264	7107	261117
265	7132	260993
266	7163	261146
267	7191	261153
268	7219	261165
269	7244	261061
270	7269	260980
271	7297	260976
272	7326	261050
273	7352	260984
274	7380	260995
275	7408	261027
276	7437	261081
277	7466	261112
278	7491	261033
279	7515	260891
280	7539	260761
281	7568	260827
282	7595	260798
283	7623	260815
284	7646	260639
285	7671	260546
286	7698	260543
287	7725	260520
288	7751	260461
289	7775	260333
290	7804	260379
291	7837	260573
292	7865	260585
293	7896	260688
294	7923	260653
295	7950	260633
296	7981	260765
297	8007	260684
298	8027	260446
299	8056	260509
300	8085	260541
301	8110	260461
302	8134	260337
303	8161	260315
304	8188	260288
305	8212	260181
306	8240	260173
307	8268	260198
308	8296	260207
309	8320	260080
310	8348	260079
311	8370	259927
312	8397	259898
313	8426	259930
314	8452	259876
315	8478	259828
316	8509	259942
317	8537	259934
318	8565	259933
319	8592	259921
320	8617	259851
321	8641	259723
322	8666	259649
323	8691	259566
324	8718	259535
325	8746	259540
326	8775	259588
327	8804	259633
328	8828	259523
329	8854	259467
330	8877	259336
331	8910	259464
332	8931	259293
333	8959	259292
334	8990	259386
335	9012	259207
336	9038	259156
337	9060	259010
338	9089	259049
339	9119	259105
340	9147	259100
341	9174	259072
342	9201	259076
343	9228	259038
344	9255	259021
345	9283	259021
346	9308	258935
347	9337	258987
348	9363	258930
349	9388	258846
350	9411	258720
351	9436	258644
352	9457	258470
353	9489	258569
354	9514	258506
355	9539	258427
356	9564	258351
357	9589	258282
358	9614	258211
359	9644	258249
360	9668	258158
361	9694	258110
362	9723	258129
363	9751	258148
364	9778	258120
365	9804	258075
366	9831	258046
367	9856	257971
368	9883	257967
369	9910	257947
370	9934	257842
371	9966	257940
372	9994	257941
373	10024	258000
374	10051	257994
375	10078	257967
376	10108	258026
377	10132	257935
378	10158	257884
379	10183	257808
380	10210	257780
381	10234	257682
382	10261	257655
383	10288	257652
384	10310	257490
385	10342	257609
386	10369	257568
387	10395	257519
388	10419	257423
389	10443	257350
390	10472	257368
391	10498	257332
392	10525	257295
393	10553	257297
394	10578	257236
395	10602	257134
396	10628	257095
397	10654	257053
398	10684	257105
399	10713	257114
400	10739	257089
401	10765	257033
402	10794	257067
403	10822	257071
404	10853	257122
405	10880	257119
406	10908	257109
407	10932	257012
408	10956	256918
409	10985	256943
410	11012	256939
411	11040	256937
412	11062	256800
413	11091	256811
414	11117	256784
415	11144	256761
416	11172	256758
417	11198	256709
418	11224	256660
419	11251	256635
420	11280	256662
421	11306	256621
422	11333	256596
423	11360	256573
424	11387	256546
425	11415	256563
426	11441	256505
427	11472	256574
428	11501	256591
429	11530	256615
430	11560	256653
431	11585	256593
432	11610	256534
433	11634	256440
434	11659	256385
435	11685	256327
436	11711	256295
437	11739	256289
438	11768	256313
439	11798	256345
440	11825	256324
441	11851	256290
442	11876	256221
443	11905	256241
444	11929	256155
445	11955	256108
446	11980	256048
447	12007	256016
448	12039	256102
449	12071	256188
450	12098	256164
451	12128	256192
452	12155	256187
453	12183	256182
454	12212	256188
455	12235	256080
456	12261	256038
457	12289	256039
458	12314	255979
459	12342	255976
460	12369	255943
461	12395	255898
462	12419	255818
463	12446	255796
464	12469	255690
465	12493	255599
466	12518	255553
467	12545	255527
468	12575	255563
469	12602	255541
470	12629	255518
471	12655	255462
472	12683	255470
473	12709	255426
474	12737	255418
475	12760	255325
476	12785	255253
477	12809	255173
478	12836	255155
479	12864	255145
480	12896	255217
481	12927	255283
482	12951	255193
483	12978	255175
484	13006	255167
485	13034	255164
486	13060	255129
487	13085	255060
488	13115	255098
489	13146	255157
490	13173	255117
491	13196	255016
492	13223	254999
493	13253	255037
494	13276	254932
495	13301	254872
496	13329	254876
497	13360	254928
498	13390	254958
499	13416	254911
500	13444	254908
501	13471	254875
502	13495	254809
503	13519	254723
504	13544	254658
505	13570	254630
506	13594	254546
507	13621	254510
508	13647	254481
509	13675	254466
510	13701	254438
511	13724	254335
512	13749	254275
513	13776	254252
514	13804	254235
515	13829	254192
516	13855	254138
517	13885	254182
518	13909	254089
519	13933	254015
520	13957	253936
521	13980	253846
522	14000	253704
523	14029	253704
524	14055	253661
525	14077	253561
526	14102	253502
527	14129	253476
528	14157	253466
529	14181	253394
530	14202	253271
531	14231	253283
532	14258	253254
533	14284	253212
534	14307	253130
535	14331	253054
536	14358	253022
537	14385	252999
538	14413	252994
539	14441	252993
540	14468	252975
541	14493	252908
542	14517	252837
543	14542	252788
544	14568	252745
545	14594	252701
546	14624	252729
547	14651	252720
548	14678	252697
549	14707	252700
550	14735	252698
551	14764	252705
552	14789	252643
553	14818	252655
554	14844	252626
555	14870	252592
556	14896	252541
557	14925	252549
558	14955	252590
559	14982	252565
560	15007	252507
561	15031	252433
562	15060	252440
563	15085	252387
564	15112	252371
565	15140	252358
566	15164	252293
567	15187	252194
568	15211	252118
569	15237	252094
570	15262	252039
571	15289	252001
572	15314	251948
573	15342	251940
574	15362	251811
575	15389	251784
576	15416	251769
577	15441	251708
578	15468	251693
579	15494	251657
580	15521	251630
581	15545	251551
582	15574	251563
583	15601	251541
584	15628	251528
585	15658	251553
586	15684	251519
587	15711	251488
588	15737	251456
589	15764	251430
590	15795	251476
591	15821	251437
592	15843	251338
593	15873	251358
594	15901	251347
595	15931	251367
596	15957	251344
597	15983	251301
598	16009	251267
599	16036	251235
600	16063	251214
601	16092	251230
602	16121	251237
