iter	MultiClass
0	1.944947323
1	1.944242169
2	1.943648315
3	1.943106467
4	1.942512537
5	1.942207322
6	1.941882556
7	1.941536329
8	1.941215173
9	1.94096563
10	1.940687167
11	1.940415144
12	1.940141127
13	1.939902583
14	1.939704388
15	1.939539191
16	1.939366491
17	1.939191131
18	1.939049233
19	1.938918056
20	1.938778336
21	1.938647969
22	1.938526774
23	1.938413112
24	1.938311383
25	1.938198655
26	1.938067318
27	1.937879264
28	1.937696947
29	1.93758699
30	1.93744706
31	1.937339984
32	1.937240491
33	1.937154985
34	1.937000849
35	1.936915376
36	1.93681213
37	1.936728361
38	1.93661843
39	1.936537162
40	1.936450881
41	1.936358791
42	1.936275045
43	1.936185894
44	1.936082038
45	1.936004201
46	1.935910759
47	1.935819106
48	1.935729456
49	1.935645977
50	1.935553234
51	1.935471688
52	1.935377499
53	1.935288292
54	1.935225387
55	1.935119928
56	1.935017104
57	1.934929674
58	1.93485769
59	1.93477646
60	1.93468151
61	1.934601967
62	1.93452765
63	1.9344231
64	1.93435018
65	1.934268758
66	1.93419886
67	1.934124107
68	1.934050146
69	1.933977449
70	1.933913305
71	1.93382944
72	1.933758949
73	1.933647792
74	1.933572475
75	1.933515903
76	1.933439696
77	1.933348829
78	1.933269275
79	1.933197743
80	1.933110011
81	1.933020734
82	1.932944519
83	1.932858815
84	1.932767525
85	1.932695913
86	1.932597779
87	1.932527585
88	1.932459834
89	1.932385652
90	1.932299567
91	1.93221236
92	1.932139858
93	1.932053401
94	1.931981201
95	1.931897974
96	1.931798088
97	1.931709478
98	1.931636534
99	1.931578384
100	1.931507057
101	1.931448667
102	1.931363926
103	1.931291635
104	1.931225623
105	1.931176365
106	1.931117527
107	1.931061521
108	1.930999049
109	1.930923999
110	1.930858852
111	1.93076587
112	1.930675701
113	1.930602862
114	1.930534254
115	1.930466157
116	1.930392264
117	1.930303788
118	1.930231145
119	1.930168381
120	1.93010772
121	1.930030545
122	1.929955133
123	1.92988399
124	1.92981888
125	1.929755403
126	1.929686329
127	1.929611788
128	1.929520967
129	1.929433094
130	1.929342693
131	1.929265556
132	1.929167734
133	1.929104322
134	1.929019498
135	1.928950187
136	1.92885718
137	1.928781679
138	1.928698448
139	1.92861874
140	1.928540866
141	1.928484583
142	1.928406495
143	1.928333999
144	1.928265682
145	1.928186885
146	1.928110702
147	1.928017678
148	1.927923159
149	1.927844126
150	1.927770649
151	1.927702239
152	1.927611217
153	1.927537131
154	1.927476728
155	1.927386487
156	1.927301235
157	1.927212667
158	1.927131327
159	1.927042665
160	1.92695644
161	1.926880426
162	1.926798499
163	1.926722393
164	1.926643257
165	1.926564218
166	1.926493442
167	1.92642247
168	1.926351055
169	1.926296221
170	1.926202368
171	1.926134871
172	1.926053776
173	1.925980959
174	1.925896332
175	1.925816805
176	1.925743787
177	1.925661533
178	1.925587398
179	1.925513488
180	1.925461752
181	1.925367492
182	1.92530008
183	1.92522851
184	1.925159617
185	1.925094391
186	1.92501386
187	1.92494816
188	1.924859253
189	1.924780007
190	1.924709513
191	1.924652759
192	1.924572628
193	1.924498494
194	1.92443803
195	1.924372679
196	1.924302944
197	1.924246212
198	1.924175018
199	1.924110618
200	1.924045039
201	1.923987758
202	1.923934558
203	1.923868272
204	1.923820541
205	1.923743714
206	1.923675547
207	1.923605156
208	1.923537234
209	1.923479306
210	1.923400559
211	1.923331854
212	1.923269523
213	1.923209489
214	1.923107162
215	1.923047406
216	1.922994149
217	1.922936035
218	1.922866012
219	1.92279358
220	1.922720733
221	1.922643676
222	1.922582154
223	1.922524632
224	1.922445654
225	1.922405055
226	1.922328722
227	1.922268358
228	1.922199621
229	1.922126978
230	1.922066143
231	1.922007104
232	1.921930929
233	1.921865392
234	1.9217978
235	1.921738727
236	1.921680048
237	1.921617823
238	1.921554232
239	1.921510833
240	1.92143908
241	1.921377181
242	1.921316282
243	1.921273324
244	1.921220373
245	1.921157685
246	1.921114368
247	1.921053307
248	1.920977601
249	1.920921283
250	1.920854161
251	1.92078546
252	1.920720203
253	1.920640684
254	1.920580711
255	1.920533737
256	1.920467222
257	1.920416474
258	1.920349414
259	1.920284976
260	1.920212818
261	1.92014851
262	1.920076957
263	1.919995155
264	1.919927746
265	1.919875485
266	1.919816009
267	1.919763577
268	1.919681141
269	1.919633269
270	1.919580477
271	1.919526243
272	1.91947155
273	1.919423005
274	1.919358502
275	1.919298334
276	1.919232292
277	1.919162684
278	1.919095162
279	1.919026254
280	1.918970328
281	1.918915125
282	1.918863265
283	1.918810818
284	1.918752474
285	1.918679677
286	1.918611778
287	1.9185357
288	1.918492206
289	1.918428893
290	1.918390014
291	1.918324997
292	1.918254666
293	1.91819815
294	1.91813034
295	1.918056853
296	1.917988314
297	1.917923063
298	1.917876273
299	1.91782461
300	1.917764202
301	1.917710036
302	1.917645545
303	1.917586237
304	1.917523262
305	1.917471093
306	1.917409379
307	1.91734418
308	1.917304021
309	1.91723916
310	1.917179332
311	1.91711927
312	1.917062062
313	1.916985493
314	1.916922012
315	1.916867725
316	1.916812305
317	1.916753118
318	1.916701073
319	1.916663779
320	1.916616003
321	1.916563759
322	1.916501537
323	1.916434229
324	1.916394851
325	1.916351142
326	1.916291078
327	1.916256031
328	1.916201899
329	1.916139485
330	1.916083107
331	1.916016564
332	1.915965825
333	1.915922737
334	1.915871612
335	1.915794464
336	1.91573545
337	1.915652069
338	1.915600868
339	1.915552156
340	1.915484909
341	1.915446541
342	1.915383603
343	1.915333533
344	1.915268944
345	1.915210146
346	1.915154207
347	1.915093954
348	1.915033096
349	1.914969683
350	1.914909801
351	1.914860794
352	1.914823058
353	1.914786777
354	1.91474653
355	1.914689835
356	1.914614491
357	1.914573278
358	1.914523487
359	1.914472242
360	1.914398799
361	1.914333033
362	1.914277705
363	1.914204707
364	1.914157817
365	1.914114179
366	1.914067747
367	1.914004128
368	1.913940361
369	1.913891405
370	1.913830959
371	1.913771395
372	1.913709873
373	1.91366106
374	1.913607039
375	1.91356637
376	1.913518142
377	1.913476993
378	1.913421976
379	1.913360174
380	1.913303091
381	1.913270905
382	1.91321069
383	1.913159827
384	1.913104648
385	1.913046973
386	1.91300778
387	1.912961412
388	1.912905362
389	1.912851042
390	1.912798739
391	1.912749971
392	1.91270962
393	1.912671793
394	1.912612329
395	1.912578539
396	1.912518261
397	1.912472009
398	1.912425849
399	1.912379404
400	1.912334891
401	1.912273957
402	1.912221539
403	1.912164234
404	1.912113071
405	1.912049107
406	1.912000217
407	1.911945296
408	1.911884739
409	1.911842445
410	1.911776572
411	1.91170779
412	1.911657579
413	1.911607934
414	1.911564932
415	1.911510776
416	1.911452923
417	1.911413021
418	1.911354459
419	1.911305004
420	1.911246192
421	1.911188298
422	1.911133432
423	1.911076226
424	1.911029892
425	1.91097298
426	1.910926381
427	1.910867042
428	1.910813383
429	1.910777032
430	1.910708336
431	1.910652835
432	1.91061496
433	1.910571323
434	1.910509632
435	1.910451351
436	1.910409621
437	1.910363125
438	1.910304458
439	1.910245034
440	1.910196897
441	1.910148377
442	1.910098943
443	1.910065424
444	1.910021612
445	1.909973376
446	1.9099066
447	1.909856966
448	1.909812297
449	1.909754744
450	1.90971784
451	1.909674295
452	1.90962889
453	1.90956299
454	1.909518664
455	1.909459267
456	1.909412048
457	1.909374141
458	1.909322539
459	1.909267274
460	1.90921628
461	1.909158523
462	1.909104257
463	1.909042884
464	1.908991851
465	1.90894478
466	1.908894424
467	1.908849445
468	1.908798193
469	1.90874609
470	1.90868953
471	1.908635173
472	1.908596245
473	1.908556926
474	1.908504618
475	1.908451287
476	1.908409949
477	1.908364382
478	1.908314497
479	1.908252322
480	1.908201948
481	1.908157451
482	1.908094613
483	1.908048959
484	1.907999232
485	1.907942379
486	1.907902518
487	1.907852482
488	1.90780311
489	1.90775686
490	1.907704992
491	1.907643408
492	1.907592717
493	1.907553914
494	1.907497175
495	1.907440958
496	1.907391146
497	1.907336867
498	1.907285663
499	1.907238143
500	1.907187858
501	1.907141707
502	1.907081671
503	1.907021023
504	1.906963231
505	1.906922182
506	1.906889416
507	1.906839401
508	1.906800106
509	1.906740908
510	1.906697021
511	1.906646931
512	1.906605245
513	1.906567221
514	1.906507598
515	1.906454714
516	1.906418577
517	1.906381897
518	1.906325991
519	1.906286755
520	1.90622087
521	1.906181776
522	1.906128437
523	1.906074366
524	1.906031138
525	1.905993483
526	1.905934628
527	1.905902656
528	1.905857237
529	1.905803336
530	1.905747609
531	1.905687792
532	1.905629004
533	1.905578008
534	1.905546255
535	1.905502589
536	1.905456697
537	1.905414171
538	1.905351163
539	1.905288376
540	1.905238113
541	1.905201949
542	1.905158239
543	1.905108684
544	1.905041257
545	1.904997787
546	1.904941949
547	1.904898303
548	1.90484817
549	1.904807433
550	1.90476642
551	1.904711743
552	1.90466633
553	1.904613104
554	1.904549343
555	1.904501617
556	1.904459658
557	1.904418711
558	1.904377312
559	1.9043242
560	1.904274237
561	1.904238645
562	1.904182274
563	1.904136024
564	1.904085762
565	1.904027001
566	1.903974997
567	1.903927856
568	1.903864987
569	1.903813606
570	1.903778322
571	1.903726335
572	1.903686397
573	1.903642169
574	1.903596229
575	1.903552845
576	1.903494749
577	1.903448975
578	1.90339865
579	1.903350674
580	1.903305758
581	1.903246736
582	1.903208627
583	1.903166534
584	1.903125433
585	1.903070045
586	1.903022763
587	1.902975456
588	1.902927914
589	1.902872798
590	1.902825319
591	1.90278727
592	1.902741119
593	1.902702087
594	1.902651854
595	1.902616446
596	1.902568024
597	1.902535295
598	1.902495465
599	1.902454745
600	1.902400602
601	1.902351597
602	1.90231171
603	1.902271535
604	1.902211643
605	1.902158689
606	1.902134967
607	1.902093623
608	1.90205223
609	1.902003121
610	1.901958923
611	1.901915116
612	1.901862185
613	1.901820267
614	1.901761886
615	1.901702535
616	1.901661573
617	1.901624751
618	1.901572377
619	1.901528835
620	1.901471403
621	1.9014208
622	1.901367465
623	1.901326954
624	1.901291707
625	1.901241042
626	1.901192036
627	1.901152268
628	1.901107449
629	1.901058385
630	1.90102626
631	1.900982194
632	1.90093287
633	1.90088393
634	1.900851349
635	1.900801283
636	1.900768356
637	1.900725646
638	1.900693391
639	1.900642683
640	1.900594928
641	1.900529909
642	1.90048534
643	1.900432959
644	1.900386226
645	1.900340926
646	1.90029375
647	1.900251726
648	1.900202939
649	1.900156793
650	1.900121848
651	1.900076852
652	1.900023555
653	1.899975523
654	1.899923217
655	1.899869577
656	1.899802332
657	1.899757938
658	1.89969716
659	1.899641799
660	1.899585562
661	1.89954482
662	1.899493336
663	1.899459537
664	1.899423686
665	1.899355131
666	1.899303642
667	1.899243817
668	1.89920852
669	1.899164736
670	1.89911224
671	1.899074499
672	1.899036322
673	1.898985074
674	1.898949202
675	1.898908452
676	1.898855993
677	1.898807452
678	1.898750031
679	1.898700981
680	1.898664662
681	1.898619147
682	1.898578475
683	1.898544494
684	1.898506023
685	1.898460831
686	1.898430372
687	1.898386214
688	1.898333682
689	1.898284395
690	1.898242128
691	1.898186035
692	1.898134435
693	1.8980898
694	1.898030403
695	1.897990643
696	1.897951833
697	1.89789607
698	1.897851717
699	1.897802671
700	1.897738691
701	1.897699927
702	1.897657497
703	1.897599428
704	1.897545119
705	1.897501704
706	1.897454763
707	1.897411526
708	1.897364913
709	1.89733036
710	1.897284559
711	1.897252485
712	1.897200775
713	1.89716396
714	1.89711306
715	1.897070528
716	1.89702934
717	1.896976634
718	1.896926293
719	1.896877443
720	1.896825119
721	1.896777435
722	1.896736458
723	1.896690269
724	1.896645013
725	1.896595582
726	1.896560937
727	1.896515835
728	1.896457309
729	1.896394862
730	1.896348227
731	1.896317292
732	1.89626841
733	1.896221615
734	1.896180753
735	1.896127855
736	1.896081431
737	1.896049409
738	1.896005317
739	1.895970588
740	1.895934421
741	1.895886609
742	1.895853458
743	1.895822728
744	1.895786754
745	1.895751261
746	1.895707201
747	1.895663336
748	1.895624952
749	1.895579581
750	1.895533528
751	1.895492686
752	1.895442411
753	1.89539085
754	1.895349173
755	1.895298047
756	1.89525726
757	1.895215065
758	1.89516492
759	1.895121119
760	1.895086662
761	1.895035183
762	1.894992637
763	1.894947113
764	1.894907705
765	1.894862089
766	1.894824774
767	1.894770055
768	1.894726382
769	1.894690107
770	1.894646709
771	1.894603219
772	1.894559646
773	1.894525409
774	1.89448462
775	1.894445023
776	1.894386978
777	1.894345162
778	1.894298547
779	1.89424659
780	1.894210393
781	1.894163124
782	1.894124302
783	1.894076583
784	1.894043507
785	1.894007712
786	1.89397311
787	1.893938748
788	1.893883998
789	1.893830376
790	1.893798987
791	1.893741817
792	1.893690427
793	1.893645885
794	1.893602868
795	1.893562714
796	1.893529537
797	1.893489076
798	1.893439822
799	1.89340443
800	1.893362716
801	1.893322525
802	1.893279177
803	1.893237542
804	1.893198178
805	1.893150958
806	1.893104173
807	1.893067718
808	1.893025012
809	1.892972618
810	1.892925344
811	1.892889917
812	1.892841614
813	1.892787749
814	1.892739464
815	1.89269558
816	1.8926587
817	1.892618784
818	1.892579912
819	1.892540519
820	1.892503513
821	1.892463443
822	1.892419507
823	1.892383211
824	1.892333946
825	1.892298019
826	1.892254414
827	1.89221164
828	1.892157846
829	1.892110193
830	1.892070345
831	1.892034282
832	1.89198529
833	1.891944588
834	1.891898272
835	1.891862512
836	1.891821604
837	1.89178025
838	1.891739448
839	1.891703665
840	1.891665551
841	1.89162732
842	1.891592227
843	1.891549934
844	1.891495892
845	1.89146531
846	1.891423639
847	1.891386054
848	1.891342403
849	1.891307117
850	1.891265807
851	1.891221978
852	1.891183765
853	1.891145792
854	1.891102881
855	1.891058515
856	1.891019074
857	1.890991032
858	1.890962484
859	1.890920556
860	1.890876124
861	1.890830032
862	1.890784412
863	1.890738732
864	1.890696326
865	1.890652291
866	1.89061311
867	1.890571501
868	1.890533908
869	1.890499487
870	1.890450905
871	1.890394802
872	1.890344552
873	1.89029838
874	1.890251963
875	1.890214746
876	1.890156322
877	1.890109672
878	1.890080015
879	1.890041159
880	1.890000743
881	1.889952884
882	1.889897498
883	1.889862907
884	1.889832917
885	1.889792207
886	1.889743955
887	1.889693605
888	1.889656221
889	1.889610681
890	1.889566146
891	1.889523949
892	1.88948117
893	1.889443063
894	1.889398812
895	1.889358555
896	1.889318137
897	1.88927399
898	1.88921447
899	1.889180463
900	1.889131527
901	1.889096176
902	1.889047723
903	1.889002849
904	1.888967931
905	1.888931128
906	1.888884573
907	1.888841743
908	1.888796953
909	1.888762141
910	1.88872878
911	1.888682503
912	1.888648099
913	1.888612954
914	1.888576086
915	1.888528837
916	1.88848351
917	1.888452254
918	1.888407129
919	1.88837062
920	1.888326608
921	1.888285023
922	1.888234574
923	1.888186153
924	1.8881418
925	1.888102207
926	1.888059862
927	1.888022773
928	1.887981155
929	1.887931851
930	1.887889024
931	1.887850432
932	1.887798278
933	1.887764923
934	1.887719886
935	1.887676646
936	1.88763309
937	1.887598727
938	1.887567815
939	1.887537137
940	1.887496858
941	1.88746007
942	1.887426131
943	1.887398779
944	1.887347628
945	1.887287714
946	1.887252188
947	1.887214563
948	1.887183003
949	1.887145896
950	1.887107979
951	1.88706213
952	1.887016213
953	1.886970705
954	1.886923669
955	1.886896191
956	1.886854263
957	1.886815119
958	1.886776248
959	1.886717434
960	1.886678545
961	1.886649666
962	1.886620112
963	1.886584069
964	1.886532991
965	1.886495331
