iter	Passed	Remaining
0	256	255750
1	401	200484
2	542	180371
3	693	172648
4	841	167419
5	999	165596
6	1148	162926
7	1314	163001
8	1472	162096
9	1649	163276
10	1799	161756
11	1978	162888
12	2124	161304
13	2254	158763
14	2444	160551
15	2581	158758
16	2721	157395
17	2859	156017
18	3031	156505
19	3184	156032
20	3339	155681
21	3505	155817
22	3680	156353
23	3832	155841
24	3991	155674
25	4138	155027
26	4306	155202
27	4424	153583
28	4561	152717
29	4726	152812
30	4868	152180
31	4990	150951
32	5146	150803
33	5285	150157
34	5415	149321
35	5577	149359
36	5708	148582
37	5857	148285
38	6001	147874
39	6169	148071
40	6314	147687
41	6477	147739
42	6621	147362
43	6791	147554
44	6923	146930
45	7050	146223
46	7213	146270
47	7340	145578
48	7493	145427
49	7630	144975
50	7758	144360
51	7919	144371
52	8072	144247
53	8232	144219
54	8361	143663
55	8510	143469
56	8657	143229
57	8808	143067
58	8972	143106
59	9130	143048
60	9278	142834
61	9419	142505
62	9556	142129
63	9738	142427
64	9878	142095
65	10014	141718
66	10170	141631
67	10320	141454
68	10477	141371
69	10618	141075
70	10757	140757
71	10896	140437
72	11081	140716
73	11223	140440
74	11365	140173
75	11528	140157
76	11698	140235
77	11830	139841
78	11981	139686
79	12156	139800
80	12306	139624
81	12481	139731
82	12631	139551
83	12784	139414
84	12940	139301
85	13133	139580
86	13290	139472
87	13453	139424
88	13618	139395
89	13792	139454
90	13925	139103
91	14089	139056
92	14225	138740
93	14363	138443
94	14517	138294
95	14644	137899
96	14782	137616
97	14965	137745
98	15123	137642
99	15298	137686
100	15456	137575
101	15617	137494
102	15779	137420
103	15954	137450
104	16109	137315
105	16280	137306
106	16413	136983
107	16598	137091
108	16746	136892
109	16907	136796
110	17031	136405
111	17197	136355
112	17362	136286
113	17548	136383
114	17709	136282
115	17875	136227
116	18053	136252
117	18272	136577
118	18439	136517
119	18638	136682
120	18798	136562
121	18977	136572
122	19142	136486
123	19306	136392
124	19435	136050
125	19630	136169
126	19785	136006
127	19978	136101
128	20123	135871
129	20288	135776
130	20448	135645
131	20648	135777
132	20793	135546
133	20968	135514
134	21129	135383
135	21306	135359
136	21452	135135
137	21614	135009
138	21779	134907
139	21964	134924
140	22100	134642
141	22282	134636
142	22437	134467
143	22622	134475
144	22747	134130
145	22872	133790
146	23035	133671
147	23168	133377
148	23300	133080
149	23452	132895
150	23586	132617
151	23716	132310
152	23858	132081
153	23981	131742
154	24110	131442
155	24277	131349
156	24408	131062
157	24526	130703
158	24681	130546
159	24821	130311
160	24960	130073
161	25101	129845
162	25219	129503
163	25347	129208
164	25472	128907
165	25608	128657
166	25743	128411
167	25897	128255
168	26062	128151
169	26211	127972
170	26333	127664
171	26480	127473
172	26615	127231
173	26766	127062
174	26906	126843
175	27027	126536
176	27173	126351
177	27313	126131
178	27478	126031
179	27630	125872
180	27765	125632
181	27920	125491
182	28036	125167
183	28180	124974
184	28310	124718
185	28455	124532
186	28573	124224
187	28722	124055
188	28884	123942
189	29037	123790
190	29185	123617
191	29310	123347
192	29453	123156
193	29602	122985
194	29732	122741
195	29901	122657
196	30061	122533
197	30217	122394
198	30355	122184
199	30492	121969
200	30663	121890
201	30823	121767
202	30993	121684
203	31134	121487
204	31311	121428
205	31448	121213
206	31618	121129
207	31753	120908
208	31901	120737
209	32035	120513
210	32160	120259
211	32303	120070
212	32436	119849
213	32560	119592
214	32733	119515
215	32862	119279
216	33006	119098
217	33145	118897
218	33281	118689
219	33402	118426
220	33556	118281
221	33679	118030
222	33806	117792
223	33980	117717
224	34104	117472
225	34247	117289
226	34409	117175
227	34534	116933
228	34666	116714
229	34820	116572
230	34941	116320
231	35086	116148
232	35228	115966
233	35377	115807
234	35511	115601
235	35634	115358
236	35771	115164
237	35926	115025
238	36089	114913
239	36232	114736
240	36356	114499
241	36470	114233
242	36593	113996
243	36739	113832
244	36885	113668
245	37068	113616
246	37218	113464
247	37343	113235
248	37476	113032
249	37608	112824
250	37758	112673
251	37901	112502
252	38053	112354
253	38190	112167
254	38317	111947
255	38482	111840
256	38628	111678
257	38760	111474
258	38922	111356
259	39061	111175
260	39190	110965
261	39338	110809
262	39472	110613
263	39620	110457
264	39765	110293
265	39924	110168
266	40057	109970
267	40189	109770
268	40339	109622
269	40493	109483
270	40649	109348
271	40779	109145
272	40917	108962
273	41099	108898
274	41245	108739
275	41375	108535
276	41536	108413
277	41678	108243
278	41812	108052
279	41955	107885
280	42081	107674
281	42209	107469
282	42362	107328
283	42495	107135
284	42623	106932
285	42798	106845
286	42924	106637
287	43043	106412
288	43201	106283
289	43352	106137
290	43485	105948
291	43640	105813
292	43800	105689
293	43961	105567
294	44107	105408
295	44247	105238
296	44367	105018
297	44546	104939
298	44681	104755
299	44804	104542
300	44952	104391
301	45087	104209
302	45220	104021
303	45387	103913
304	45533	103757
305	45672	103584
306	45811	103412
307	45974	103292
308	46092	103074
309	46230	102899
310	46370	102731
311	46525	102593
312	46686	102471
313	46811	102270
314	46926	102047
315	47058	101860
316	47209	101717
317	47379	101612
318	47539	101486
319	47662	101281
320	47795	101101
321	47934	100930
322	48080	100775
323	48237	100644
324	48389	100501
325	48526	100327
326	48672	100172
327	48820	100022
328	48947	99828
329	49084	99656
330	49235	99512
331	49388	99372
332	49517	99183
333	49651	99006
334	49781	98820
335	49928	98668
336	50084	98534
337	50213	98347
338	50374	98223
339	50539	98106
340	50689	97959
341	50816	97768
342	50954	97600
343	51092	97432
344	51275	97349
345	51423	97198
346	51590	97084
347	51745	96948
348	51901	96814
349	52060	96683
350	52234	96581
351	52393	96451
352	52548	96313
353	52676	96127
354	52812	95955
355	52985	95850
356	53109	95656
357	53256	95504
358	53450	95435
359	53590	95271
360	53768	95174
361	53918	95028
362	54075	94892
363	54219	94735
364	54391	94625
365	54572	94532
366	54723	94386
367	54850	94199
368	55046	94130
369	55183	93961
370	55348	93839
371	55502	93697
372	55705	93638
373	55866	93509
374	56048	93414
375	56207	93280
376	56357	93131
377	56509	92987
378	56673	92861
379	56799	92672
380	56965	92550
381	57133	92430
382	57298	92306
383	57446	92153
384	57567	91958
385	57747	91857
386	57893	91701
387	58059	91578
388	58210	91430
389	58390	91328
390	58558	91207
391	58745	91115
392	58904	90979
393	59103	90905
394	59260	90765
395	59432	90649
396	59579	90495
397	59765	90398
398	59905	90234
399	60041	90062
400	60200	89926
401	60332	89748
402	60465	89572
403	60634	89450
404	60782	89297
405	60920	89130
406	61069	88977
407	61234	88850
408	61363	88669
409	61486	88479
410	61633	88326
411	61762	88146
412	61897	87976
413	62052	87832
414	62184	87657
415	62315	87481
416	62484	87358
417	62609	87174
418	62741	87000
419	62922	86892
420	63057	86722
421	63182	86538
422	63329	86385
423	63472	86226
424	63645	86107
425	63788	85949
426	63916	85770
427	64093	85658
428	64234	85496
429	64374	85333
430	64504	85158
431	64628	84974
432	64774	84820
433	64921	84667
434	65051	84491
435	65195	84335
436	65349	84191
437	65501	84045
438	65634	83874
439	65769	83706
440	65924	83564
441	66056	83392
442	66195	83229
443	66352	83090
444	66473	82905
445	66595	82721
446	66746	82574
447	66908	82441
448	67089	82329
449	67224	82163
450	67369	82008
451	67533	81876
452	67641	81677
453	67798	81537
454	67962	81405
455	68100	81242
456	68275	81124
457	68387	80930
458	68537	80781
459	68696	80643
460	68826	80472
461	68949	80292
462	69116	80163
463	69237	79981
464	69400	79847
465	69534	79681
466	69700	79550
467	69846	79398
468	70018	79274
469	70156	79112
470	70294	78950
471	70458	78818
472	70600	78660
473	70727	78486
474	70874	78334
475	71013	78174
476	71152	78014
477	71295	77858
478	71446	77710
479	71601	77567
480	71739	77406
481	71860	77228
482	72014	77083
483	72156	76927
484	72287	76759
485	72433	76607
486	72559	76433
487	72682	76257
488	72836	76113
489	72974	75952
490	73101	75781
491	73270	75653
492	73414	75499
493	73542	75328
494	73689	75178
495	73835	75026
496	73961	74854
497	74106	74701
498	74272	74569
499	74428	74428
500	74558	74261
501	74692	74097
502	74867	73974
503	75005	73814
504	75141	73653
505	75290	73504
506	75416	73333
507	75530	73151
508	75704	73026
509	75827	72853
510	75957	72687
511	76123	72555
512	76255	72390
513	76379	72219
514	76510	72053
515	76654	71900
516	76808	71757
517	76962	71614
518	77084	71440
519	77232	71291
520	77372	71134
521	77519	70985
522	77654	70824
523	77787	70661
524	77916	70496
525	78046	70330
526	78222	70207
527	78357	70047
528	78503	69896
529	78627	69726
530	78774	69576
531	78916	69422
532	79058	69268
533	79189	69105
534	79327	68948
535	79459	68785
536	79585	68618
537	79753	68487
538	79902	68339
539	80037	68179
540	80176	68024
541	80316	67868
542	80454	67712
543	80572	67539
544	80741	67407
545	80891	67261
546	81059	67129
547	81172	66952
548	81333	66814
549	81464	66652
550	81604	66497
551	81743	66342
552	81879	66184
553	82026	66035
554	82164	65879
555	82302	65723
556	82467	65588
557	82596	65425
558	82719	65258
559	82866	65109
560	83012	64959
561	83177	64824
562	83310	64665
563	83492	64543
564	83629	64387
565	83799	64255
566	83937	64100
567	84074	63943
568	84241	63810
569	84374	63651
570	84548	63522
571	84693	63372
572	84833	63217
573	84974	63064
574	85104	62903
575	85218	62730
576	85351	62571
577	85470	62402
578	85608	62246
579	85730	62080
580	85883	61936
581	86010	61773
582	86156	61624
583	86299	61473
584	86434	61316
585	86578	61166
586	86713	61009
587	86837	60845
588	86983	60696
589	87115	60537
590	87261	60388
591	87404	60238
592	87538	60080
593	87676	59927
594	87838	59789
595	87990	59644
596	88158	59510
597	88284	59348
598	88418	59191
599	88579	59052
600	88699	58886
601	88846	58739
602	88995	58592
603	89129	58435
604	89316	58313
605	89465	58167
606	89621	58025
607	89760	57871
608	89893	57715
609	90043	57568
610	90166	57405
611	90291	57243
612	90449	57102
613	90557	56930
614	90694	56776
615	90818	56614
616	90955	56460
617	91088	56303
618	91210	56140
619	91346	55986
620	91530	55861
621	91674	55711
622	91793	55547
623	91946	55403
624	92075	55245
625	92223	55098
626	92382	54957
627	92524	54807
628	92661	54654
629	92829	54518
630	92996	54383
631	93143	54235
632	93281	54082
633	93442	53942
634	93588	53794
635	93755	53658
636	93898	53508
637	94016	53344
638	94184	53209
639	94335	53063
640	94510	52931
641	94662	52786
642	94792	52629
643	94947	52486
644	95104	52344
645	95232	52186
646	95358	52027
647	95514	51884
648	95664	51738
649	95797	51583
650	95927	51426
651	96065	51274
652	96240	51141
653	96397	50999
654	96544	50851
655	96675	50695
656	96806	50539
657	96962	50396
658	97093	50241
659	97248	50097
660	97386	49945
661	97517	49790
662	97659	49639
663	97825	49502
664	97954	49345
665	98083	49189
666	98252	49052
667	98395	48903
668	98537	48753
669	98691	48609
670	98843	48464
671	99010	48326
672	99173	48186
673	99296	48027
674	99430	47873
675	99574	47724
676	99706	47570
677	99834	47414
678	99970	47261
679	100133	47121
680	100256	46963
681	100378	46803
682	100505	46647
683	100669	46508
684	100805	46355
685	100937	46201
686	101088	46056
687	101225	45904
688	101375	45758
689	101522	45611
690	101676	45467
691	101824	45320
692	101984	45179
693	102144	45037
694	102299	44894
695	102453	44749
696	102601	44602
697	102740	44452
698	102909	44314
699	103026	44154
700	103179	44009
701	103329	43863
702	103481	43718
703	103642	43577
704	103784	43427
705	103914	43273
706	104083	43134
707	104212	42980
708	104362	42834
709	104525	42693
710	104668	42544
711	104802	42391
712	104937	42239
713	105105	42101
714	105274	41962
715	105425	41816
716	105580	41672
717	105706	41517
718	105853	41369
719	105974	41212
720	106157	41079
721	106305	40932
722	106429	40775
723	106582	40631
724	106723	40481
725	106891	40342
726	107064	40204
727	107240	40067
728	107375	39915
729	107548	39778
730	107681	39625
731	107814	39473
732	107979	39332
733	108105	39177
734	108226	39020
735	108358	38867
736	108505	38720
737	108653	38573
738	108788	38421
739	108913	38266
740	109063	38120
741	109191	37966
742	109320	37813
743	109436	37655
744	109585	37509
745	109748	37367
746	109881	37215
747	110023	37066
748	110175	36921
749	110307	36769
750	110435	36615
751	110586	36470
752	110722	36319
753	110856	36168
754	111018	36025
755	111162	35877
756	111282	35722
757	111443	35579
758	111581	35429
759	111712	35277
760	111892	35140
761	112029	34990
762	112157	34837
763	112329	34698
764	112483	34553
765	112662	34416
766	112800	34266
767	112942	34117
768	113095	33972
769	113225	33820
770	113361	33670
771	113506	33522
772	113651	33375
773	113787	33224
774	113921	33073
775	114039	32918
776	114186	32771
777	114356	32631
778	114512	32486
779	114664	32341
780	114793	32189
781	114944	32043
782	115103	31899
783	115227	31746
784	115372	31598
785	115523	31452
786	115661	31303
787	115805	31155
788	115962	31011
789	116114	30865
790	116240	30713
791	116372	30562
792	116509	30412
793	116661	30267
794	116828	30125
795	116947	29971
796	117082	29821
797	117231	29675
798	117359	29523
799	117479	29369
800	117607	29218
801	117743	29068
802	117860	28914
803	118003	28767
804	118140	28617
805	118259	28464
806	118421	28321
807	118563	28173
808	118700	28024
809	118853	27879
810	119029	27739
811	119181	27593
812	119338	27449
